ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
GAME,Gamecredits,Scrypt,TRUE,PoW,69836100,84000000,84000000.00,340
DSH,Dashcoin,CryptoNight,TRUE,PoW,0,18446744,18446744.00,341
DBIC,DubaiCoin,SHA-256,TRUE,PoW/PoS,5129014,10500000,10500000.00,342
BIOS,BiosCrypto,Quark,TRUE,PoW/PoS,0,20190463.55,20190463.55,343
DIEM,CarpeDiemCoin,SHA-256,TRUE,PoW,21739971929,21626280000,21626280000.00,344
RCX,RedCrowCoin,Scrypt,TRUE,PoW/PoS,,3966666667,3966666667.00,345
PWR,PWR Coin,NIST5,TRUE,PoW/PoS,10069449032,0,0.00,346
TRUMP,TrumpCoin,Blake,TRUE,PoS,0,12000000,12000000.00,347
BLRY,BillaryCoin,Scrypt,TRUE,PoW/PoS,8998743.241,42000000,42000000.00,348
ETHS,EthereumScrypt,Scrypt,TRUE,PoW/PoS,0,4200000,4200000.00,349
PXL,Phalanx,SHA-256,TRUE,PoW,0,15000000,15000000.00,350
SOUL,SoulCoin,Scrypt,TRUE,PoW/PoS,,1400000000,1400000000.00,351
SSTC,SunShotCoin,X11,TRUE,PoW,0,2250000000,2250000000.00,352
GPU,GPU Coin,Scrypt,TRUE,PoS,40477042,221052632,221052632.00,353
TAGR,Think And Get Rich Coin,X15,TRUE,PoW/PoS,,30700000,30700000.00,354
HMP,HempCoin,Scrypt-n,TRUE,PoW,0,5000000000,5000000000.00,355
ADZ,Adzcoin,X11,TRUE,PoW,45110324,84000000,84000000.00,356
MYC,MayaCoin,Scrypt,TRUE,PoW/PoS,,250000000,250000000.00,357
VTA,VirtaCoin,Scrypt,TRUE,PoW,0,21000000000,21000000000.00,358
SOIL,SoilCoin,Dagger,TRUE,PoW,5702048,30000000,30000000.00,359
YOC,YoCoin,Scrypt,TRUE,PoW,636462.5598,168351300,168351300.00,360
UNIT,Universal Currency,SHA-256,TRUE,PoW/PoS,0,210000000,210000000.00,361
AEON,AEON,CryptoNight-Lite,TRUE,PoW,0,18400000,18400000.00,362
SIB,SibCoin,X11GOST,TRUE,PoW,17263355,24000000,24000000.00,363
ERC,EuropeCoin,X11,TRUE,PoW/PoS,10407269.79,384000000,384000000.00,364
AIB,AdvancedInternetBlock,Scrypt,TRUE,PoW,,3.14E+11,314000000000.00,365
XDB,DragonSphere,X11,TRUE,PoW/PoS,,21007600,21007600.00,366
ANTI,Anti Bitcoin,SHA-256,TRUE,PoW,0,42000000,42000000.00,367
COLX,ColossusCoinXT,X11,TRUE,PoS,,21000000000,21000000000.00,368
MNM,Mineum,X13,TRUE,PoW/PoS,,10000000,10000000.00,369
ZEIT,ZeitCoin,Scrypt,TRUE,PoS,36971236047,99000000000,99000000000.00,370
CGA,Cryptographic Anomaly,Scrypt,TRUE,PoW,,10000000000,10000000000.00,371
SWING,SwingCoin,SHA-256,TRUE,PoW/PoS,4377081.61,40000000,40000000.00,372
SAFEX,SafeExchangeCoin,Scrypt,TRUE,PoC,2147483647,2147483647,2147483647.00,373
NEBU,Nebuchadnezzar,PoS,TRUE,PoS,20000000,20000000,20000000.00,374
AEC,AcesCoin,X11,TRUE,PoS,,98000000,98000000.00,375
FRN,Francs,Scrypt,TRUE,PoW,6570807.657,20000000,20000000.00,376
ADNT,Aiden,ScryptOG,FALSE,PoW,84000000,84000000,84000000.00,377
N7,Number7,Scrypt,TRUE,PoW,,270967742,270967742.00,378
CYG,Cygnus,X11,TRUE,PoW/PoS,,25885320,25885320.00,379
LGBTQ,LGBTQoin,X11,TRUE,PoW,,50000000,50000000.00,380
UTH,Uther,Dagger,TRUE,PoW,,25885320,25885320.00,381
MPRO,MediumProject,PoS,TRUE,PoW,,250000,250000.00,382
KATZ,KATZcoin,SHA-256D,TRUE,PoW/PoS,,100000000,100000000.00,383
SPM,Supreme,Scrypt,TRUE,PoW/PoS,,88900000,88900000.00,384
FLX,Flash,Scrypt,TRUE,PoW/PoS,,1000000,1000000.00,385
BOLI,BolivarCoin,X11,TRUE,PoW,13654082.5,25000000,25000000.00,386
CLUD,CludCoin,Scrypt,TRUE,PoW,,100200000,100200000.00,387
HVCO,High Voltage Coin,SHA-256,TRUE,PoW/PoS,,1700000,1700000.00,388
GIZ,GIZMOcoin,X11,TRUE,PoW/PoS,0,100000,100000.00,389
FUZZ,Fuzzballs,Scrypt,TRUE,PoW,,21000000,21000000.00,390
SCRT,SecretCoin,X11,TRUE,PoW/PoS,0,21000000,21000000.00,391
XRA,Ratecoin,X11,TRUE,PoW/PoS,134554941.2,75000000,75000000.00,392
XNX,XanaxCoin,Scrypt,TRUE,PoW,,42000000,42000000.00,393
